Name                                                               Type                   Forward_MACs     FPercent    Memory          MPercent    Params       PPercent    InShape          OutShape
/backbone/backbone.0/layers.0/Equal_4                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_5                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_6                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_7                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_8                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_9                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_10                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_11                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_12                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_13                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_14                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_15                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_16                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_17                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_18                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_19                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_20                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_21                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_22                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_23                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_24                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_25                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_26                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_27                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_28                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_29                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_30                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_31                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_32                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_33                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
